label,text,Fake Authority Claim,Threat Language,Payment Pressure,Remote Access Request,OTP Request,Isolation Tactics
scam,"hello, i m bank manager of SBI, ur debit card is about to expire would u want to issue new  card.",1,0,0,0,0,0
scam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,0,0,0,0,0,0
normal,Please don't say like that. Hi hi hi,0,0,0,0,0,0
normal,Oh that was a forwarded message. I thought you send that to me.,0,0,0,0,0,0
normal,Got it. Seventeen pounds for seven hundred ml – hope ok.,0,0,0,0,0,0
normal,Me and him so funny...,0,0,0,0,0,0
normal,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",0,0,0,0,0,0
normal,When you login date time... Dad fetching you home now?,0,0,0,0,0,0
normal,"What will we do in the shower, baby?",0,0,0,0,0,0
normal,I had askd u a question some hours before. Its answer,0,0,0,0,0,0
normal,"Well i am definitely need to restock before thanksgiving, I'll let you know when I'm out",0,0,0,0,0,0
normal,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",0,0,0,0,0,0
normal,Probably gonna swing by in a wee bit.,0,0,0,0,0,0
normal,Ya very nice. . .be ready on thursday.,0,0,0,0,0,0
normal,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,0,0,0,0,0,0
normal,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about you?",0,0,0,0,0,0
normal,Do you mind if I ask what happened? You don't have to say if it is uncomfortable.,0,0,0,0,0,0
normal,No problem. I will send to your email.,0,0,0,0,0,0
scam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call 09050000327.",0,0,0,0,0,0
normal,Thats cool! Sometimes slow and gentle. Sometimes rough and hard.,0,0,0,0,0,0
normal,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,0,0,0,0,0,0
scam,"hello sir, i am from jio customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from airtel customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from idea customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from vodafone customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from bsnl customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from mtnl customer care in 23 hours your sim will be closed. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from jio customer care in 23 hours your sim will be deactivate. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from airtel customer care in 23 hours your sim will be deactivate. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from idea customer care in 23 hours your sim will be deactivate. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from vodafone customer care in 23 hours your sim will be deactivate. do u want to activate it.",0,0,0,0,0,0
scam,"hello sir, i am from bsnl customer care in 23 hours your sim will be deactivate. do u want to activate it.",0,0,0,0,0,0
scam,hello sir i am from jio customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.,0,0,0,0,1,0
scam,hello sir i am from airtel customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.,0,0,0,0,1,0
scam,hello sir i am from idea customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.,0,0,0,0,1,0
scam,hello sir i am from vodafone customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.,0,0,0,0,1,0
scam,hello sir i am from bsnl customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.,0,0,0,0,1,0
scam,"hello sir this is your hdfc bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir this is your icici bank manager. your kyc has been expired.so you shave to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir this is your axis bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir this is your uniun bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir this is your sbi bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir this is your allahabad bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",1,0,0,0,0,0
scam,"hello sir, Are you using bhim/upi , sir you have to upgrate your bhim/upi othr wise you account will be block.",0,0,0,0,0,0
scam,"hello sir, tell me your credit/debit card mobile number and aadhar card.",0,0,0,0,0,0
scam,hello i am from income text department you have not registered your aadhar to your pan card. please tell me your aadhar number to coonect to your pan card.,0,0,0,0,0,0
scam,"hello sir, i am from bank please tell me your card cvv number for your bank verification.",0,0,0,0,1,0
scam,"hello sir, i am from union bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from sbi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from hdfc bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from india bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from obi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from allahabad bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir, i am from bank of baroda, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",0,0,1,0,0,0
scam,"hello sir ,i am from unoin bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number.",0,0,0,0,1,0
scam,"hello sir ,i am from sbi bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number.",0,0,0,0,1,0
scam,"hello sir ,i am from axis bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number.",0,0,0,0,1,0
scam,"hello sir ,i am from hdfc bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number.",0,0,0,0,1,0
scam,"hello sir ,i am from bank of baroda india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number.",0,0,0,0,1,0
scam,"hello sir, i am from paytm there are offer in paytm upgrade your account so you can enjoy better cashback offrs.",0,0,0,0,0,0
scam,"you won a lucky draw for shopping on an amazon, provide your bank details for deposit your amount towards logistics charge.",0,0,0,0,0,0
scam,"you won a lucky draw for shopping on an flipkard, provide your bank details for deposit your amount towards logistics charge.",0,0,0,0,0,0
scam,"you won a lucky draw for shopping on an myntra, provide your bank details for deposit your amount towards logistics charge.",0,0,0,0,0,0
scam,"hello sir we are from covid-19 health care center, for vaccination call 7845963214",0,0,0,0,0,0
scam,"hello sir, i am from covid-19 center, you have filled the form for vaccination, we are for vefication of your document.",0,0,0,0,0,0
scam,"hello sir, i am from covid-19 center, those who are vaccinated they will get money by indian goverment please tell me account detail to deposit money in your account.",0,0,0,0,0,0
scam,"hello sir, i am from covid-19 center, for vaccination you have to pay money ,please pay your money on this upi myupi@axis",0,0,0,0,0,0
normal,"hello, how are you. i am fine, what about you.",0,1,0,0,0,0
scam,"hello, you have won 10000 INR, do you want to deposit it in your bank account.",0,0,0,0,0,0
scam,give me your bank account number and debit card number for deposit money in your bank account.,0,0,1,0,0,0
scam,"hello sir,i am from sbi bank,do you want a new credit card.give your aadhar and mobile number for issue a credit card.",0,0,0,0,0,0
scam,"hello sir, to get a 500 INR voucher for play rummy go to this link http://xyz.abc",0,0,0,0,0,0
scam,"hello, i am from indian army. by mistakely i have given your mobile number in amozon during online shopping, that why you have got an otp, please tell me that otp.",0,0,0,0,1,0
